НАЗВАНИЕ.СМИ,ТЕЛЕФОН,АДРЕС.СМИ,ЭЛ.ПОЧТА...САЙТ,ГЛАВНЫЙ.РЕДАКТОР,ОБЛАСТЬ,ГОРОД.РАЙОНЫ,ТИП.СМИ,СОБСТВЕННИК,email,web
Semey Ainasy,"87222562401, 877729355849","Площадь Абая, дом 5, офис 308","semeyainasy@mail.ru, http://semeyainasy.kz/",Лейла Уразбаева,Восточно-Казахстанская область,Семей,Сетевое издание,ОО “Семипалатинская городская Ассоциация молодых журналистов”,semeyainasy@mail.ru,http://semeyainasy.kz/
YK-news.kz,87232259630,"Набережная имени Е.П.Славского, 14","info@yk-news.kz, istrakatova@mail.ru, https://yk-news.kz",Ирина Стракатова,Восточно-Казахстанская область,Усть-Каменогорск,Сетевое издание,"ТОО ""Издательский дом ""Регион"", Евгений Черкашин",info@yk-news.kz istrakatova@mail.ru,https://yk-news.kz
Yk.kz,87232220306,"ул. Михаэлиса, 10/1-8","lego-85@mail.ru , https://yk.kz/",Антон Серебров ,Восточно-Казахстанская область,Усть-Каменогорск,Сетевое издание,"ИП ""Solmex"", Серебров Антон 
",lego-85@mail.ru,https://yk.kz/
Buqara.kz,"87232251587,87232701872
","Набережная имени Е.П.Славского, 14"," menin_olkem@mail.ru, http://buqara.kz",,Восточно-Казахстанская область,Усть-Каменогорск,Сетевое издание,"ТОО ""Издательский дом ""Регион"", Евгений Черкашин",menin_olkem@mail.ru,http://buqara.kz
16news.kz,87058617151,," 16newskz@gmail.com, info@16news.kz, https://16news.kz/",,Восточно-Казахстанская область,Усть-Каменогорск,Сетевое издание,"ИП ""Информационный независимый портал 16 news.kz"",Чернятьев Виталий ",16newskz@gmail.com info@16news.kz,https://16news.kz/
Ustinka.kz,"87232208935

","ул. Мызы, 16/1","ustinka_plus@mail.ru, https://ustinka.kz/",,Восточно-Казахстанская область,Усть-Каменогорск,Сетевое издание,"ТОО  «Редакция газеты «Устинка плюс», 
Надежда Иванченко",ustinka_plus@mail.ru,https://ustinka.kz/
Flashpress.kz,87232755347,"пр. Сатпаева, 22/2 – 43","flashgazeta@mail.ru, www.flashpress.kz",,Восточно-Казахстанская область,Усть-Каменогорск,Сетевое издание,"ТОО ""3-ИКС"", Людмила Данилевская",flashgazeta@mail.ru,https://flashpress.kz/
ALTAI,"87232 522924, 87222522918","ул. Стахановская, д.70","oskementv@kaztrk.kz, http://oskementv.kz/ru","Салтанат Оранбекова,Константин Шуваев",Восточно-Казахстанская область,Усть-Каменогорск,ТВ,"АО ""РТРК ""Казахстан"", Нуртас Кушеров",oskementv@kaztrk.kz,http://oskementv.kz/ru
SEMEI,"87222 534978 (123) , 87222 532016","ул. Шугаева, д. 157","semeytv@kaztrk.kz,semey@kaztrk.kz, nusupbaevasaira@list.ru, http://semeytv.kz/ru",Сайра Нусупбаева,Восточно-Казахстанская область,Семей,ТВ,"АО ""РТРК ""Казахстан"", Хасен Молдабаев
",semeytv@kaztrk.kzsemey@kaztrk.kz nusupbaevasaira@list.ru,http://semeytv.kz/ru
Алва,"87233568151,872335 68143","ул. Курчатова, 8/1","alvatv@mail.ru, www.alvatv.kz",Александр Шалапутов,Восточно-Казахстанская область,Зыряновск,ТВ,"ТОО ""Благотворительный коммерческий центр ""Алва"", Александр Шалапутов",alvatv@mail.ru,https://alvatv.kz/
Атамекен,87773506115,"ул. Максима Горького, 76","atameken-tv@mail.ru, cheh_1970@mail.ru",Евгения Чех,Восточно-Казахстанская область,Усть-Каменогорск,ТВ,"ИП ""Сембинова А.О."", Айнагуль Сембинова",atameken-tv@mail.ru cheh_1970@mail.ru,
"ТК ""Риддер-Информ""","87233653201,872336 52017","4 микрорайон, 39/1",riddertv@mail.ru,Владимир Волженин,Восточно-Казахстанская область,Риддер,ТВ,"ТОО ""Риддер-Информ"", Евгения Воропаева",riddertv@mail.ru,
ТВК-6,"87222 561617, 87222 561954","ул. Шугаева, д. 30","tvk-6@bk.ru, info@tvk-6.kz, http://spectr.com.kz/tvk-6/",Дуйсенбек Жақсыбаев,Восточно-Казахстанская область,Семей,ТВ,"ТОО ""Байуаков ТВК-6, Омарбек Байуаков",tvk-6@bk.ru info@tvk-6.kz,http://spectr.com.kz/tvk-6/
ҰЛАН ТВ,"87085042750, 872338 27730","ул. Пермитина, д.29 кв.77","8705504278@mail.ru, bigaliev_azamat@mail.ru",Юрий Демин,Восточно-Казахстанская область,Усть-Каменогорск,ТВ,"ИП Султан, Бигалиев Азамат Шакенович  ",8705504278@mail.ru bigaliev_azamat@mail.ru,
Ауыл жаңалығы - Сельская новь ,"872637 21237, 87237 21570, 87237 22860","с. Сарыкемер, ул. М.Х.Дулати 10 А","ayil@mail.ru, ayilbaizak@gmail.com, http://auil-zhanaligi.kz",Гулшахар Ермуратова,Жамбылская область,Байзакский район,Газета,"ТОО ""Редакция Байзакской районной газеты ""Ауыл жаңалығы""-""Сельская новь""",ayil@mail.ru ayilbaizak@gmail.com,http://auil-zhanaligi.kz
Ауыл - Аймақ,"8 702 232 64 41, 87262 433283","ул. Сулейменова, 5, Дом печати","auyl-aimak@mail.ru, https://auyl-aimak.kz/",Азимхан Килыбаев,Жамбылская область,Тараз,Газета,"ИП ""Әулие-Ата пресс""",auyl-aimak@mail.ru,https://auyl-aimak.kz/
Әулиеата ,"87262 453452, 87262435697","ул.Толе би, 36Б","auelita@bk.ru, http://ru.aulieatanews.kz/",Гульнур Жылкыбаева ,Жамбылская область,Тараз,Газета,"ТОО ""Қанатты қалам әлемі""",auelita@bk.ru,http://ru.aulieatanews.kz/
Жеті жарғы,"87262 451327,8776 610 70 40","ул. Сулейменова, 5, Дом печати",jetigargy@mail.ru,Бекнур Сатыбалдиев,Жамбылская область,Тараз,Газета,"ТОО ""Редакция газеты ""Жеті жарғы""",jetigargy@mail.ru,
Жаңа өмір - Новая жизнь,"872635 21605, 872635 20208","с. Б.Момышұлы, ул. Жамбыла, 4","jana-omir@mail.ru, ",Берик Жакулаев ,Жамбылская область,Жуалынский район,Газета,"ТОО ""Редакция Жуалынской районной газеты ""Жаңа өмір""-""Новая жизнь"" ",jana-omir@mail.ru,
Қордай шамшырағы - Кордайский маяк,"872636 45163 ,872636 22708, 8702 660 85 40","с. Кордай, ул. Толе би, 70",mayak1932@mail.ru ,Шолпан Сабанова,Жамбылская область,Кордайский район,Газета,"ТОО ""Районная общественно-политическая газета ""Қордай шамшырағы"" - Кордайский маяк"", Шолпан Сабанова",mayak1932@mail.ru,
Құлан таңы - Огни Кулана ,"8726 3121209, 872631 40466","с. Кулан, ул. Жыбек жолы, 34","Kulan_tany70@mail.ru, Kulantany@gmail.com, https://kulantany.kz/",Мұратбек Өмірзаков ,Жамбылская область,Рыскуловский район,Газета,"ТОО ""Редакция газеты ""Құлан таңы"" района Т.Рысқулова"", Мұратбек Өмірзаков ",Kulan_tany70@mail.ru Kulantany@gmail.com,https://kulantany.kz/
Меркі тынысы - Меркенский вестник,"872632 40733, 87263 240735, 8702 984 00 84","с. Мерке, ул. А.Исмаилова, 349","merketynysy@gmail.ru, http://merki-tynysy.kz/",Әтіркүл Исаева,Жамбылская область,Меркенский район,Газета,"ТОО ""Меркі тынысы""-Баспасы"" ",merketynysy@gmail.ru,http://merki-tynysy.kz/
Мойынқұм таңы,"87264224930, 872642 24911, 872642 21406, 8777 291 24 18","с. Мойынқум, ул. Амангельды 68",moinkum-gazet@mail.kz ,Сүндетулла Әбілов,Жамбылская область,Мойынкумский район,Газета,"ТОО ""Редакция газеты ""Мойынқұм таңы"" Мойынкумского района"" ",moinkum-gazet@mail.kz,
Сарысу,"87263462921, 872634 62201","Жанатас, 1 мкр., д.28","Sarysu_02@bk.ru, https://gazeta-sarysu.kz/",Жамалбек Өзбеков,Жамбылская область,Сарысуский район,Газета,"ТОО ""Редакция газеты ""Сарысу""",Sarysu_02@bk.ru,https://gazeta-sarysu.kz/
Талас тынысы,"872644 40160,872644 50668, 8705 797 52 37","ул. Шейн, д.№47","talas-gazet@mail.ru, http://www.talas-tynysy.kz/",Дүйсенәлі Молдақұлов,Жамбылская область,Таласский район,Газета,"ТОО ""Таласская районная газета ""Талас тынысы"" ",talas-gazet@mail.ru,http://www.talas-tynysy.kz/
Шу өңірі - Шуская долина,"872638 32914, 87263832924, 8701 285 41 42","с. Толе би, ул. Толе би, 264","shuskayа_dolina@mail.kz ,shuskays_dolina@mail.ru, www.shuoniri.kz ",Нуржан Қадырбеков,Жамбылская область,Шуйскоий район,Газета,"ТОО ""Шу аудандық баспасы"" ",shuskayа_dolina@mail.kz shuskays_dolina@mail.ru,http://shuoniri.kz/
Шұғыла - Радуга,"872633 21798, 872633 22024, 8777 171 17 33","с. Аса, ул. Абая, 78",asa_66@bk.ru,Сансызбай Маханбетқұлов,Жамбылская область,Жамбылский район,Газета,"ТОО ""Редакция Жамбылской районнной  газеты ""Шұғыла-Радуга"" ",asa_66@bk.ru,
Taраз times,"87262 430856,87262 456118, 8777 181 30 07","пр. Абая, д. 134, кв. 22","taraztimes@mail.ru, http://taraztimes.kz",Жарылкасын Нуралиев,Жамбылская область,Тараз,Газета,"ТОО ""Рекламно-информационное агенство ""Медиа-Юг"". ",taraztimes@mail.ru,http://taraztimes.kz
АрСтан,"87262 433825,87262 438591? 8777 1982800","ул. Сулейменова, 5, Дом печати",gazetaarstan@mail.ru,Кокен Оршабеков,Жамбылская область,Тараз,Газета,"Учреждение ""АрСтан""",gazetaarstan@mail.ru,
АРАЙ,"87262 451043, 8 775 324 69 01","ул. Сулемейнова, 6а","aray2008@mail.ru, araygazeti@gmail.com, http://ar-ay.kz",Даулет Төлендіұлы,Жамбылская область,Тараз,Газета,"ТОО ""Редакция Жамбылской областной газеты ""АРАЙ""",aray2008@mail.ru araygazeti@gmail.com,http://ar-ay.kz
Jambyl-Taraz,"87262 456265 , 87262 546664 , 8777 977 77 24","ул. Сулемейнова, 7а","zhambul_taraz@ mail.ru, http://z-taraz.kz",Эльмира Мырза-Ғали,Жамбылская область,Тараз,Газета,"ТОО ""Редакция газеты ""Жамбыл-Тараз"" ",zhambul_taraz@ mail.ru,http://z-taraz.kz
Ғұмыр Дария,"87262 546013, 87758147495","ул. Толе би, 35",gumir_darya@mail.ru,Жаңабай Миллионов,Жамбылская область,Тараз,Газета,"ТОО ""Тото-Мұра"" ",gumir_darya@mail.ru,
